,artist_name,track_name,track_id,popularity
89,Juice WRLD,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,82
90,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,84
91,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,82
92,YoungBoy Never Broke Again,Slime Belief,2qGfZAgDe1pV2y5xJAhi6R,80
93,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,86
94,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,85
95,City Girls,Act Up,4eIT2gZ0WZyJpgfmoD6saJ,81
96,Khalid,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,86
97,Billie Eilish,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,86
98,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,87
99,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,89
100,5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE,87
101,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,81
102,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST,82
103,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,83
104,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,86
105,City Girls,Twerk (feat. Cardi B),4DyBx5MYoq8RsU33cEAIxT,82
106,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,88
107,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,84
108,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,83
109,Bebe Rexha,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,86
110,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,82
111,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,84
112,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,81
113,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,82
114,Kanye West,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,86
115,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,84
116,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,83
117,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,88
118,Ski Mask The Slump God,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,81
119,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,80
120,Shoreline Mafia,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,80
121,Camila Cabello,Havana,1rfofaqEpACxVEHIZBJe6W,88
122,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,80
123,Lauren Daigle,You Say,6Up545NUflOiXo8cEraH49,83
124,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,81
125,Dan + Shay,Speechless,7q7jyVU0f0hnod8tsaUmxg,80
126,Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,84
127,Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,84
128,Dan + Shay,Tequila,7Il2yWQmsqKgSkLQvHTPUI,80
129,Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,81
130,King Princess,1950,0CZ8lquoTX2Dkg7Ak2inwA,84
131,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,80
132,Travis Scott,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,82
133,Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,90
