,artist_name,track_name,track_id,popularity
139,Lewis Capaldi,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,92
140,Post Malone,Stay,4H7WNRErSbONkM06blBoGc,82
141,Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,84
142,Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,83
143,Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,88
144,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),6j97zG4DDrh3oUa6rZbFOs,79
145,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,91
146,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,80
147,Lauv,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,85
148,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,84
149,YBN Cordae,Kung Fu,3i01Zk9c0FQ5HA1WJjflXI,80
150,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,80
151,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,81
152,The Chainsmokers,Hope,4BiiOzZCrXEzHRLYcYFiD5,87
153,Logic,Everyday,4EAV2cKiqKP5UPZmY6dejk,84
154,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,81
155,Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,90
156,Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,82
157,Madison Beer,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,82
158,Jeremy Zucker,comethru,18uwL0vNUanqZH0ro2QcOP,83
159,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,81
160,Lil Yachty,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM,79
161,Pardison Fontaine,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,79
162,Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,86
163,YoungBoy Never Broke Again,Outside Today,3sA7HKGzcKTVscdiTCrWpX,77
164,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),6GzApXoBQiiAjak3tOQfV3,85
165,YNW Melly,Freddy Krueger (feat. Tee Grizzley),0hwkukpHcBJfGcIUxi1tK2,78
166,DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,84
167,Post Malone,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,81
168,Maroon 5,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,88
169,Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],0kCBorRrKZkSztd9m0QI3r,80
170,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81
171,benny blanco,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,84
172,NAV,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,80
173,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,79
174,Shawn Mendes,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,85
175,Trippie Redd,Shake It Up,6yz0Jndhv0QjKdpcEMbOjz,79
176,Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,82
177,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,79
178,Anuel Aa,Amanece,1LiN0Z98FkR1t0m8KmLcAH,92
179,Kodak Black,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,79
180,NOTD,So Close,7FjZU7XFs7P9jHI9Z0yRhK,86
181,Lil Skies,Creeping (feat. Rich the Kid),7ms3VzLTfr7fXNOqA4Mkx9,80
182,Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,82
183,Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,86
184,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,79
185,Becky G,Bubalu,7dNwJbsT0sg1le5kVugGJb,89
186,Post Malone,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,81
187,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,79
188,21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,79
189,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,81
190,AJR,Burn the House Down,0j7pdNXDzEVQST5Zcoh5xo,76
191,H.E.R.,Could've Been (feat. Bryson Tiller),6lzLjIOyWTyTJvk0jraYee,79
192,Lil Tjay,Brothers,3OKjDHmSJVKOn6V4hCR8bq,78
193,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,78
194,Drake,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,80
195,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),0jAfdqv18goRTUxm3ilRjb,80
