,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
494,0.781,0.487,8,-8.823,1,0.589,0.0335,0.0,0.163,0.344,95.879,audio_features,1Szfm2XAx3Kgl55dyl8sTU,spotify:track:1Szfm2XAx3Kgl55dyl8sTU,https://api.spotify.com/v1/tracks/1Szfm2XAx3Kgl55dyl8sTU,https://api.spotify.com/v1/audio-analysis/1Szfm2XAx3Kgl55dyl8sTU,182723,4
495,0.809,0.737,1,-5.186,1,0.108,0.0441,0.0,0.341,0.367,80.025,audio_features,2XTquzYQAdT1Hk78bOUwsv,spotify:track:2XTquzYQAdT1Hk78bOUwsv,https://api.spotify.com/v1/tracks/2XTquzYQAdT1Hk78bOUwsv,https://api.spotify.com/v1/audio-analysis/2XTquzYQAdT1Hk78bOUwsv,226938,4
496,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,audio_features,5AdnkoZJuRJCYqYBIzSqFb,spotify:track:5AdnkoZJuRJCYqYBIzSqFb,https://api.spotify.com/v1/tracks/5AdnkoZJuRJCYqYBIzSqFb,https://api.spotify.com/v1/audio-analysis/5AdnkoZJuRJCYqYBIzSqFb,233880,4
497,0.737,0.742,6,-2.875,1,0.0441,0.218,0.0,0.316,0.386,119.966,audio_features,7uYgVgRSgqluZclLS7wpp4,spotify:track:7uYgVgRSgqluZclLS7wpp4,https://api.spotify.com/v1/tracks/7uYgVgRSgqluZclLS7wpp4,https://api.spotify.com/v1/audio-analysis/7uYgVgRSgqluZclLS7wpp4,258000,4
498,0.727,0.58,2,-6.804,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,audio_features,6kN06eEOblRAuWI0xUUS91,spotify:track:6kN06eEOblRAuWI0xUUS91,https://api.spotify.com/v1/tracks/6kN06eEOblRAuWI0xUUS91,https://api.spotify.com/v1/audio-analysis/6kN06eEOblRAuWI0xUUS91,159229,4
499,0.585,0.941,10,-3.278,0,0.145,0.03,8.41e-06,0.196,0.45,130.024,audio_features,7cFFhb9Wz2ZXLSpEk2VDKd,spotify:track:7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/tracks/7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/audio-analysis/7cFFhb9Wz2ZXLSpEk2VDKd,153773,4
500,0.727,0.58,2,-6.804,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,audio_features,6kN06eEOblRAuWI0xUUS91,spotify:track:6kN06eEOblRAuWI0xUUS91,https://api.spotify.com/v1/tracks/6kN06eEOblRAuWI0xUUS91,https://api.spotify.com/v1/audio-analysis/6kN06eEOblRAuWI0xUUS91,159229,4
501,0.585,0.941,10,-3.278,0,0.145,0.03,8.41e-06,0.196,0.45,130.024,audio_features,7cFFhb9Wz2ZXLSpEk2VDKd,spotify:track:7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/tracks/7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/audio-analysis/7cFFhb9Wz2ZXLSpEk2VDKd,153773,4
502,0.592,0.571,1,-7.132,1,0.174,0.172,0.0,0.106,0.424,104.95,audio_features,3qmm9AdG0TnShv0drgXNIQ,spotify:track:3qmm9AdG0TnShv0drgXNIQ,https://api.spotify.com/v1/tracks/3qmm9AdG0TnShv0drgXNIQ,https://api.spotify.com/v1/audio-analysis/3qmm9AdG0TnShv0drgXNIQ,176076,4
503,0.774,0.45,11,-6.86,1,0.0896,0.443,3.28e-05,0.127,0.648,90.055,audio_features,7tDqtZnEQcgAE92mEMtgnF,spotify:track:7tDqtZnEQcgAE92mEMtgnF,https://api.spotify.com/v1/tracks/7tDqtZnEQcgAE92mEMtgnF,https://api.spotify.com/v1/audio-analysis/7tDqtZnEQcgAE92mEMtgnF,191935,4
504,0.681,0.34,7,-8.617,1,0.0339,0.82,0.0,0.285,0.417,129.98,audio_features,1Fo4OvzP9PThFKMeMIAEYu,spotify:track:1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/tracks/1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/audio-analysis/1Fo4OvzP9PThFKMeMIAEYu,179998,4
505,0.728,0.727,2,-3.585,1,0.206,0.0128,0.0,0.0882,0.89,143.144,audio_features,6V81K1OcvYgHEnCA6A2Qx9,spotify:track:6V81K1OcvYgHEnCA6A2Qx9,https://api.spotify.com/v1/tracks/6V81K1OcvYgHEnCA6A2Qx9,https://api.spotify.com/v1/audio-analysis/6V81K1OcvYgHEnCA6A2Qx9,171467,4
506,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,audio_features,4IhKLu7Vk3j2TLmnFPl6To,spotify:track:4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/tracks/4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/audio-analysis/4IhKLu7Vk3j2TLmnFPl6To,218893,4
507,0.671,0.859,4,-3.922,0,0.0833,0.0323,0.0,0.267,0.389,139.931,audio_features,2aI2k39nfa3KFsa4JclQzw,spotify:track:2aI2k39nfa3KFsa4JclQzw,https://api.spotify.com/v1/tracks/2aI2k39nfa3KFsa4JclQzw,https://api.spotify.com/v1/audio-analysis/2aI2k39nfa3KFsa4JclQzw,209355,4
508,0.593,0.697,7,-5.416,1,0.0399,0.00289,0.0257,0.14,0.428,170.0,audio_features,67YPjbcxUypwNOwYBZquq1,spotify:track:67YPjbcxUypwNOwYBZquq1,https://api.spotify.com/v1/tracks/67YPjbcxUypwNOwYBZquq1,https://api.spotify.com/v1/audio-analysis/67YPjbcxUypwNOwYBZquq1,230960,4
